model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance
ConvNN-2k,2548.0,last_layer,kron,1.0,1.5953355,1.5967631,1.573905,1.5753253,1.58531921875,2.4554011881256104,0.8800759375,170,0.9623950511953034,0.8803698551082615,0.9160714149475098
ConvNN-5k,5001.0,last_layer,kron,1.0,1.5318543,1.5340149,1.4892092,1.4912819,1.505616875,2.7679092107772827,1.27662734375,260,1.1433957725945056,1.2769291925450101,1.048125982284546
ConvNN-9k,9663.0,last_layer,kron,1.0,1.3302149,1.3332326,1.2442412,1.2470218,1.265139296875,2.7532355443191525,1.50621375,340,1.1810969757524554,1.5065201906149717,1.2576768398284912
ConvNN-15k,15888.0,last_layer,kron,1.0,1.2255208,1.2295543,1.0489186,1.052364,1.0765615625,3.084168522987366,2.03180453125,430,1.1935130588272502,2.0321214838908372,1.5314000844955444
ConvNN-21k,21344.0,last_layer,kron,1.0,1.2318592,1.236917,1.0106171,1.0146757,1.04229859375,3.272762611427307,2.258086875,510,1.2129895972580056,2.258408353378227,1.6956024169921875
ConvNN-30k,30119.0,last_layer,kron,1.0,1.1522923,1.1587094,0.8413469,0.8459213,0.87708390625,3.300045184249878,2.45412390625,590,1.1526404577932767,2.4544493054472682,1.8765920400619507
ConvNN-37k,37591.0,last_layer,kron,1.0,1.1946805,1.2024417,0.8093416,0.8143861,0.850204140625,3.765121441879272,2.9507353125,680,1.2002783865980844,2.9510706441240417,2.086090087890625
ConvNN-48k,48987.0,last_layer,kron,1.0,1.1087242,1.1178213,0.6958928,0.7013447,0.739124453125,3.4612337909698487,2.7598890625,760,1.1167494703151821,2.7602205771227015,2.15732479095459
ConvNN-62k,62006.0,last_layer,kron,1.0,1.1744121,1.1867951,0.5640486,0.5696557,0.6130459375,3.92057446641922,3.35091875,850,1.1867132450138635,3.3512620854528685,2.96596622467041
ConvNN-72k,72421.0,last_layer,kron,1.0,1.2002702,1.2156677,0.4835692,0.48931658,0.5353370703125,3.7605468951797487,3.2712303125,930,1.2154509348690747,3.271572054152242,3.5536680221557617
ConvNN-87k,87930.0,last_layer,kron,1.0,1.3344182,1.3528627,0.45206788,0.45797127,0.5097138671875,4.295812524852753,3.83784125,1010,1.3529671813565274,3.8381943240976413,4.158597469329834
ConvNN-100k,100421.0,last_layer,kron,1.0,1.3960062,1.4183874,0.39615914,0.40217972,0.457453359375,4.449289405517578,4.0471096875,1100,1.4184920342416905,4.047466947050101,4.953336715698242
ConvNN-118k,118551.0,last_layer,kron,1.0,1.4757757,1.5066391,0.2629122,0.26803732,0.32569462890625,4.32172919418335,4.053691875,1180,1.506903031203874,4.0540492661964835,6.649427890777588
ConvNN-138k,138364.0,last_layer,kron,1.0,1.6000199,1.6407759,0.21131742,0.21624129,0.2764617578125,4.294605035204888,4.07836375,1270,1.6406002199756313,4.078721634643852,8.179808616638184
ConvNN-153k,153738.0,last_layer,kron,1.0,1.5702907,1.6179156,0.18021984,0.18475728,0.2462962890625,4.180551027369499,3.99579375,1350,1.6178623977371673,3.9961499832108234,8.31544303894043
ConvNN-175k,175981.0,last_layer,kron,1.0,1.6794088,1.7372874,0.14553764,0.14972164,0.214035859375,4.171249137368203,4.0215275,1430,1.737125497029277,4.021884247896118,9.984891891479492
ConvNN-193k,193491.0,last_layer,kron,1.0,1.7681634,1.8412352,0.122251,0.12614217,0.1915185546875,4.020753736505508,3.8946115625,1520,1.841242235101503,3.8949657720266,11.429880142211914
ConvNN-218k,218355.0,last_layer,kron,1.0,1.812765,1.9152113,0.083582684,0.08705078,0.153450615234375,3.8595920306539537,3.77254125,1600,1.9154582577735835,3.7728930180715206,13.155789375305176
ConvNN-244k,244962.0,last_layer,kron,1.0,2.007798,2.1508837,0.05942998,0.06258202,0.1273449609375,3.524527335941792,3.4619453125,1690,2.150659390991781,3.46229086852853,15.949929237365723
ConvNN-265k,265295.0,last_layer,kron,1.0,1.940774,2.0978146,0.055336732,0.058719818,0.122384375,3.21192513004899,3.1532053125,1770,2.097502333391005,3.1535446936050313,15.212052345275879
ConvNN-294k,294272.0,last_layer,kron,1.0,2.0177038,2.2217717,0.046776343,0.050248943,0.11234177734375,2.9398733182692527,2.889624375,1850,2.2221195287369033,2.889958484380847,16.95853042602539
ConvNN-316k,316801.0,last_layer,kron,1.0,2.088698,2.3620741,0.03811665,0.042151414,0.099384501953125,2.5466561013579367,2.5045046875,1940,2.362114917133041,2.504831094333046,19.82815933227539
ConvNN-348k,348399.0,last_layer,kron,1.0,1.968238,2.28479,0.035404842,0.040167566,0.093780498046875,2.283656472638845,2.24348890625,2020,2.285324565064065,2.2438100926630127,18.950618743896484
ConvNN-381k,381800.0,last_layer,kron,1.0,1.8657956,2.272917,0.032504722,0.039324254,0.0829905078125,1.8359495662975311,1.7966253125,2110,2.272135250543122,1.7969375614623886,19.584009170532227
ConvNN-407k,407092.0,last_layer,kron,1.0,1.8435189,2.23666,0.03381401,0.040504724,0.0886601953125,2.037644255037308,1.99713953125,2190,2.237081713004857,1.9974557905769708,18.505367279052734
ConvNN-442k,442803.0,last_layer,kron,1.0,1.9037437,2.380686,0.03503208,0.04386921,0.088251552734375,1.9683837397944928,1.92451453125,2270,2.3804703675541683,1.9248293380479202,20.36337661743164
ConvNN-470k,470351.0,last_layer,kron,1.0,1.8569269,2.3419015,0.035240494,0.04434217,0.09023134765625,2.031967327650785,1.98762515625,2360,2.342447975062926,1.987941225285665,20.34613800048828
ConvNN-508k,508683.0,last_layer,kron,1.0,1.8281698,2.3553379,0.03595189,0.04659561,0.088317724609375,1.888438110678196,1.8418425,2440,2.3549301041610846,1.8421556533242258,20.55773162841797
ConvNN-548k,548878.0,last_layer,kron,1.0,1.7632058,2.3192742,0.03629515,0.04780686,0.086546455078125,1.7587859215164183,1.7109790625,2530,2.3177731881971555,1.7112895985031293,19.824928283691406
ConvNN-579k,579129.0,last_layer,kron,1.0,1.6734678,2.2359095,0.037994515,0.051148783,0.088092041015625,1.781759408415556,1.730610625,2610,2.235610667710772,1.7309215536422322,19.244739532470703
ConvNN-621k,621574.0,last_layer,kron,1.0,1.6063746,2.1783283,0.039000325,0.05325948,0.0883108984375,1.7147321369946005,1.66147265625,2690,2.1789720456677375,1.6617822021052013,17.9867000579834
ConvNN-654k,654141.0,last_layer,kron,1.0,1.6901441,2.288954,0.039545577,0.054416493,0.08818787109375,1.7110171175813675,1.656600625,2780,2.2897921375418866,1.6569100734126276,19.823144912719727
ConvNN-699k,699207.0,last_layer,kron,1.0,1.6546662,2.3034816,0.041973267,0.058968607,0.0895473828125,1.7036475135862827,1.64467890625,2860,2.3024713969832287,1.6449881162234838,18.966312408447266
ConvNN-746k,746196.0,last_layer,kron,1.0,1.550184,2.1480987,0.041557577,0.05800286,0.087911826171875,1.5782475468540191,1.5202446875,2950,2.148150194782749,1.5205514087393341,17.445775985717773
ConvNN-781k,781406.0,last_layer,kron,1.0,1.5151584,2.126265,0.042128954,0.059422776,0.0900755859375,1.6090449636030195,1.5496221875,3030,2.1284777917843347,1.5499294963010852,17.172225952148438
ConvNN-830k,830585.0,last_layer,kron,1.0,1.5519197,2.1961284,0.043496594,0.061518278,0.09313154296875,1.6787971842229366,1.61727890625,3110,2.1993324370043545,1.6175875682125236,17.693082809448242
ConvNN-868k,868171.0,last_layer,kron,1.0,1.4733236,2.09247,0.043711755,0.06214025,0.09119041015625,1.5949822799658775,1.53284203125,3200,2.091111402840173,1.5331490044412481,16.939334869384766
ConvNN-919k,919971.0,last_layer,kron,1.0,1.4676156,2.105363,0.044441216,0.06366133,0.087870673828125,1.4537814856982232,1.39012015625,3280,2.106711559559487,1.3904242749466582,16.768077850341797
ConvNN-973k,973754.0,last_layer,kron,1.0,1.4464241,2.08137,0.04557887,0.066027164,0.093772802734375,1.5925627894592285,1.526535625,3370,2.0838927395320446,1.5268424720606004,16.43009376525879
ConvNN-1013k,1013923.0,last_layer,kron,1.0,1.4042441,2.0645025,0.046616096,0.06830822,0.0913153125,1.5128930630636217,1.44458484375,3450,2.0651171478745347,1.4448900517621945,16.192293167114258
ConvNN-1069k,1069836.0,last_layer,kron,1.0,1.3925399,2.035378,0.046439007,0.06795872,0.090441455078125,1.4649301262784005,1.39697140625,3530,2.0367981615366615,1.3972756619743987,15.667742729187012
ConvNN-1112k,1112441.0,last_layer,kron,1.0,1.3408469,2.0086617,0.048790365,0.072559476,0.09260400390625,1.4795169758987428,1.4069575,3620,2.010067253130595,1.4072619554502683,15.016433715820312
ConvNN-1170k,1170975.0,last_layer,kron,1.0,1.3347952,1.9899937,0.048533324,0.07253248,0.092451220703125,1.46274966994524,1.3902171875,3700,1.9901852338548927,1.390521308137322,15.582490921020508
ConvNN-1231k,1231552.0,last_layer,kron,1.0,1.3475912,2.0539558,0.050958887,0.07774617,0.094418857421875,1.5177956990289687,1.44004953125,3790,2.053989380999989,1.4403546485541303,16.16383934020996
ConvNN-1276k,1276680.0,last_layer,kron,1.0,1.346128,2.074669,0.052372158,0.080804825,0.095543544921875,1.4943584185791017,1.41355359375,3870,2.0756977936568224,1.4138581811247817,16.30076026916504
ConvNN-1339k,1339327.0,last_layer,kron,1.0,1.3248746,2.0298686,0.05220618,0.08072144,0.094953994140625,1.4892334691810607,1.40851203125,3950,2.0321114827153264,1.408816517791515,16.171630859375
ConvNN-1386k,1386951.0,last_layer,kron,1.0,1.2983195,1.9934211,0.052069984,0.08003907,0.09425869140625,1.4390493815565109,1.3590103125,4040,1.9930093102001338,1.3593138089873391,15.483322143554688
ConvNN-1452k,1452219.0,last_layer,kron,1.0,1.2763805,1.9386688,0.050434485,0.07617846,0.09280001953125,1.3873554925632476,1.31117703125,4120,1.9410121017513204,1.3114795710525804,14.914291381835938
