model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal,normalized KL,inverse rate,s value
ConvNN-4k,4928.0,last_layer,kron,25.818265914916992,1.5686558,1.5744964,1.540348,1.5460503,1.5660984375,0.0200481273651123,0.1389161062094495,0.020324844073153048
ConvNN-7k,7774.0,last_layer,kron,24.83967399597168,1.4495921,1.4560152,1.3856473,1.3917737,1.41345515625,0.0216814555358886,0.14430131551089498,0.021958204911146105
ConvNN-12k,12672.0,last_layer,kron,23.654766082763672,1.3219095,1.3289201,1.2107985,1.2171184,1.241558515625,0.0244401331710815,0.15026140399537669,0.024716937720995202
ConvNN-18k,18870.0,last_layer,kron,23.711231231689453,1.2326062,1.2402533,1.0569388,1.0633272,1.091337578125,0.0280103848648072,0.157664452161836,0.028287260821182908
ConvNN-24k,24166.0,last_layer,kron,22.68065643310547,1.1918396,1.1997988,0.94024366,0.9464254,0.9732403125,0.0268149341773986,0.15726753629137868,0.02709178622428237
ConvNN-32k,32589.0,last_layer,kron,21.83662414550781,1.1695839,1.1784778,0.8409517,0.8471776,0.875871640625,0.0286940159225463,0.1610847646653295,0.028970905551816622
ConvNN-39k,39410.0,last_layer,kron,19.33096694946289,1.2220826,1.2317562,0.7773537,0.7832464,0.813024296875,0.029777898902893,0.16377393145696661,0.03005481021025649
ConvNN-50k,50058.0,last_layer,kron,19.476470947265625,1.1902908,1.2008085,0.67017126,0.6758567,0.705806796875,0.0299500873947143,0.16454928823926984,0.030227002145916504
ConvNN-62k,62006.0,last_layer,kron,17.012805938720703,1.170966,1.1824061,0.56791383,0.5731974,0.6026078515625,0.0294104271507262,0.16352418955909287,0.029687331108507655
ConvNN-71k,71277.0,last_layer,kron,17.288192749023438,1.2461499,1.2589144,0.5380912,0.54332477,0.5740723828125,0.0307476142692565,0.16725760664284905,0.031024544971315206
ConvNN-85k,85450.0,last_layer,kron,15.82334327697754,1.3448384,1.3603867,0.42161343,0.42620763,0.4564864453125,0.0302788134860992,0.1681927975866564,0.030555734811954727
ConvNN-96k,96246.0,last_layer,kron,15.071428298950195,1.3974011,1.4143807,0.3801623,0.38457987,0.4152771875,0.0306973203754424,0.16884559279624445,0.030974250071603118
ConvNN-112k,112644.0,last_layer,kron,13.458505630493164,1.4299644,1.4495467,0.2883138,0.29192215,0.3209209375,0.028998785457611,0.1667690678309217,0.029275681182393935
ConvNN-130k,130342.0,last_layer,kron,12.751961708068848,1.4434578,1.4671036,0.23767895,0.24080878,0.26967529296875,0.0288665080070495,0.1658974957207653,0.029143401086230505
ConvNN-143k,143588.0,last_layer,kron,12.109978675842283,1.6725475,1.7011359,0.17720339,0.1798855,0.20948705078125,0.0296015441513061,0.16883889140181174,0.029878451931504017
ConvNN-163k,163511.0,last_layer,kron,11.87287425994873,1.7932123,1.8299706,0.12908742,0.13129784,0.1612692578125,0.029971416144371,0.17059114067260395,0.030248331322156725
ConvNN-178k,178282.0,last_layer,kron,11.17975616455078,1.9384663,1.9841499,0.1012809,0.10293193,0.131232861328125,0.0283009297132492,0.16872605892312054,0.0285778114806381
ConvNN-200k,200430.0,last_layer,kron,10.679754257202148,2.1016955,2.1668239,0.058048412,0.059221216,0.086261318359375,0.0270401028132438,0.16729338926208137,0.027316959363590354
ConvNN-223k,223878.0,last_layer,kron,10.708001136779783,2.018992,2.0850492,0.054369234,0.055495795,0.0808987451171875,0.0254029502546787,0.16352603413881117,0.02567977406131921
ConvNN-241k,241099.0,last_layer,kron,10.90450954437256,2.031381,2.1047642,0.051995497,0.053132,0.07934595703125,0.026213955720663,0.1649905179410498,0.026490795747737238
ConvNN-266k,266772.0,last_layer,kron,10.125677108764648,2.0882697,2.1733873,0.039269283,0.040166207,0.0635632421875,0.0233970355296134,0.16037940391709404,0.023673819217157027
ConvNN-285k,285518.0,last_layer,kron,10.098023414611816,2.1002514,2.2024808,0.03154563,0.032337032,0.0551466943359375,0.0228096620774269,0.15893361963762587,0.02308643401726653
ConvNN-313k,313416.0,last_layer,kron,9.733884811401367,2.1030252,2.2287028,0.022873415,0.023583833,0.0434799267578125,0.0198960936295986,0.15339885449636692,0.020172807296903822
ConvNN-342k,342614.0,last_layer,kron,9.608515739440918,1.9839531,2.110158,0.02248531,0.023184324,0.042526337890625,0.0193420142072439,0.15086282419706465,0.01961871679273904
ConvNN-363k,363810.0,last_layer,kron,9.26357650756836,2.0623415,2.2178936,0.019156482,0.019819573,0.0380841455078125,0.0182645729398727,0.15020104098546572,0.018541253976111508
ConvNN-395k,395233.0,last_layer,kron,9.226820945739746,2.1282573,2.3263783,0.016153468,0.016843596,0.0339194580078125,0.0170758615344762,0.14877462826931787,0.017352518796011407
ConvNN-417k,417954.0,last_layer,kron,9.100749969482422,2.0452592,2.231355,0.01608432,0.016789362,0.0336300024414062,0.0168406406068801,0.14697786517435052,0.017117293163902664
ConvNN-451k,451602.0,last_layer,kron,8.98431396484375,2.1112957,2.2950935,0.015557129,0.016176106,0.0326919409179687,0.0165158345097303,0.14664942244385148,0.016792480570500996
ConvNN-486k,486550.0,last_layer,kron,8.774888038635254,1.9505701,2.126394,0.01511666,0.015717424,0.0307000439453125,0.0149826194930076,0.14255899583475018,0.015259234888864662
ConvNN-511k,511721.0,last_layer,kron,9.03414821624756,2.0240655,2.2124937,0.01531358,0.01594801,0.0316512573242187,0.0157032467156648,0.14475741548157184,0.01597987652435457
ConvNN-548k,548894.0,last_layer,kron,9.050373077392578,1.9611117,2.145665,0.015024836,0.015633909,0.0309966748046875,0.0153627657729387,0.14382045251953235,0.015639388771873423
ConvNN-575k,575590.0,last_layer,kron,9.221951484680176,1.9418713,2.128651,0.015252411,0.015912715,0.0313080712890625,0.0153953559434413,0.14381356586492533,0.01567197959419247
ConvNN-614k,614988.0,last_layer,kron,8.86637020111084,1.9574823,2.1484942,0.014854928,0.015479431,0.0304912817382812,0.0150118511819839,0.14312545266179244,0.015288467162486436
ConvNN-655k,655686.0,last_layer,kron,8.844948768615723,1.7860488,1.9536804,0.014736895,0.015328237,0.030048115234375,0.0147198783788084,0.1411296781302358,0.014996488519738081
ConvNN-684k,684832.0,last_layer,kron,9.070021629333496,1.8677347,2.0480764,0.014734773,0.015334696,0.0299735717773437,0.0146388761997222,0.14161975382665104,0.014915484720575896
ConvNN-727k,727755.0,last_layer,kron,8.461711883544922,1.7275851,1.8851371,0.014279494,0.014796783,0.0288381372070312,0.0140413539907336,0.1387937219547537,0.014317950560904104
ConvNN-758k,758426.0,last_layer,kron,8.672064781188965,1.8175772,1.985647,0.014502467,0.015021204,0.0295853002929687,0.014564096275866,0.1409490029750493,0.014840703301091307
ConvNN-803k,803574.0,last_layer,kron,8.730841636657715,1.7963822,1.968605,0.014334277,0.014877799,0.0290311865234375,0.014153387556374,0.1399517444513636,0.01442998636726063
ConvNN-850k,850022.0,last_layer,kron,8.96491527557373,1.7412878,1.9169314,0.014440202,0.015025752,0.0295192651367187,0.0144935134714841,0.14025914606531598,0.014770119085025088
ConvNN-883k,883143.0,last_layer,kron,8.440995216369629,1.7372515,1.9015994,0.014145937,0.014657734,0.028263505859375,0.0136057718974351,0.13854914355536985,0.013882359755789503
ConvNN-931k,931816.0,last_layer,kron,8.86290168762207,1.7023597,1.8752507,0.014000918,0.014558319,0.0284322192382812,0.0138739002358913,0.1389309648892334,0.014150493456919724
ConvNN-966k,966462.0,last_layer,kron,8.293539047241211,1.6816435,1.8413757,0.014054241,0.014546066,0.0279182861328125,0.0133722205415368,0.13742746619363344,0.013648803728770663
ConvNN-1017k,1017360.0,last_layer,kron,8.196346282958984,1.6489466,1.7977207,0.014026065,0.01450257,0.0278375317382812,0.0133349617052078,0.136844071767396,0.013611544147250031
ConvNN-1069k,1069558.0,last_layer,kron,8.620274543762207,1.7130277,1.8797187,0.013996677,0.014507447,0.0283650048828125,0.0138575575134158,0.13868305264690473,0.014134150407583236
ConvNN-1106k,1106654.0,last_layer,kron,8.661813735961914,1.7076384,1.8772404,0.013803488,0.01433107,0.0280499072265625,0.0137188374516367,0.1387099263012732,0.013995427571347412
ConvNN-1161k,1161077.0,last_layer,kron,8.621519088745117,1.6079141,1.7642154,0.013908149,0.014405028,0.0276301171875,0.0132250892242789,0.13630464032959932,0.013501669468827561
ConvNN-1199k,1199698.0,last_layer,kron,8.568470001220703,1.6262078,1.7847749,0.013874015,0.0143578155,0.0274988989257812,0.0131410834291577,0.13645297242424403,0.013417661993556857
ConvNN-1256k,1256346.0,last_layer,kron,8.20599365234375,1.5871017,1.7410945,0.013177839,0.0136390645,0.0260228662109375,0.0123838017052412,0.13404044012121497,0.012660365123702961
